SELL,Date,Retail,Institutional,Foreign,Regional,Local
SELL,8/25/2008,467978636.8,227383379.2,131423421,84834165.95,479799791
SELL,8/26/2008,1996478414,369017337.2,80426855.53,123005779.1,2162063116
SELL,8/27/2008,524858600,240241400,139248200,110939500,514912300
SELL,8/28/2008,599423638.4,367388681.6,175959842.2,153723158.9,638096131.2
SELL,8/31/2008,704606296.7,348616867.3,143238350.3,246454220.4,663530593.3
SELL,9/1/2008,515979123.7,382939210.3,156411790.1,187873931.8,554632612.1
SELL,9/2/2008,432829669.3,455937618.7,229301960.3,208860312.7,450605015
SELL,9/3/2008,585338601.6,430874248.4,284539598,153448140.4,579241324.5
SELL,9/4/2008,691859016.2,425845371.8,253718896.1,96122577.37,767862914.6
SELL,9/7/2008,778555564.4,385204621.6,158271385.3,272319883.5,733168917.2
SELL,9/8/2008,808694557,487290310,342140004.9,134782426.2,820358420.8
SELL,9/9/2008,814202536.9,401025130.1,247906444.1,125168449.7,819063447.6
SELL,9/10/2008,714254471.9,410555720.1,280077737.8,102357727.5,742374726.7
SELL,9/11/2008,740408784.1,776822330.9,332273614.2,75861555.75,1109095945
SELL,9/14/2008,530894578.8,283360910.2,210077916.2,52112351.3,552879477
SELL,9/15/2008,597298270,480857452,287867577.8,150941801.1,640424498.9
SELL,9/16/2008,561491324.5,489990556.5,346989020.7,123023380.1,581469480.2
SELL,9/17/2008,585956493.2,534419210.8,275612423.2,124361703.1,720401577.7
SELL,9/18/2008,634534804,470926527,405704308.5,65222218.53,635640265.3
SELL,9/21/2008,566897674,402158179,261645080.3,97874641.15,610505187.4
SELL,9/22/2008,482711721.5,278663233.5,187298238.9,69285120.91,504791595.2
SELL,9/23/2008,332284111.5,275182271.5,230837225.5,17009058.72,359620098.7
SELL,9/24/2008,456843457.3,267155682.7,238919716.2,60091928.62,424987495.2
SELL,9/25/2008,403855141.9,684703192.1,635718067.1,60959266.7,391881000.2
SELL,10/7/2008,257652000,500148000,254620800,40921200,462258000
SELL,10/8/2008,545495445,666716655,437608568.1,128494482.6,646109049.3
SELL,10/9/2008,492794994,431773475,265351150.6,111872784.7,548269102.1
SELL,10/12/2008,463073762,241756926,138851645.5,48633317.47,517345725
SELL,10/13/2008,543952978.6,876289785.4,360741662.1,103677721.8,957243622.9
SELL,10/14/2008,622524665.4,574638152.6,363937496.7,77815583.17,755409738.2
SELL,10/15/2008,506633075.2,477120468.8,233149589.9,83619051.24,666001149.3
SELL,10/16/2008,418413267.3,372538088.7,161354076.6,49829935.43,580558295.3
SELL,10/19/2008,280528001.1,279408128.9,113107098.3,53193932.35,393635099.4
SELL,10/20/2008,306609607.6,291069939.4,158982759.5,50205081.95,388491705.6
SELL,10/21/2008,379535505.4,332538613.6,173746085,72631560.14,465696473.8
SELL,10/22/2008,375938903,407267145,171522124.5,90068695.52,521615228
SELL,10/23/2008,370731977.9,280818071.1,140083260.5,44305403.33,467161385.1
SELL,10/26/2008,343321000,185679000,53958000,79879000,395163000
SELL,10/27/2008,358680592.6,310499617.4,117106536.8,78294084.57,473779588.7
SELL,10/28/2008,423887881.9,412182891.1,238280170.3,95312068.12,502478534.6
SELL,10/29/2008,463327458.5,315374152.5,201683717.2,61517427.27,515500466.5
SELL,10/30/2008,418699829.4,265450218.6,170353362,63625954.46,450170731.6
SELL,11/2/2008,487001558.1,292200934.9,219735103,55323377,504144013
SELL,11/3/2008,642439594.8,367685554.2,284855292,59597383.79,665672473.2
SELL,11/4/2008,588000000,412000000,312000000,80000000,608000000
SELL,11/5/2008,661100000,438900000,227700000,126500000,745800000
SELL,11/6/2008,661979683.8,330493605.2,219336596.9,75427969.96,698701195.5
SELL,11/9/2008,695460600,192739400,112801400,46186400,729212200
SELL,11/10/2008,830577788.8,282797263.2,161439382.5,103543879.8,848391789.6
SELL,11/11/2008,836231028.8,310862289.2,98650025.35,84884905.53,963558387.1
SELL,11/12/2008,605761270,237917379,122333404.1,50620718.94,670724526
SELL,11/13/2008,524090196.3,423631677.7,219871474.8,40752040.58,687098358.7
SELL,11/16/2008,463499503.4,249576655.7,157589831.1,53480711.93,502005615.9
SELL,11/17/2008,511680239.8,400405749.2,299164204.4,59285589.29,553636195.3
SELL,11/18/2008,500909834.2,284215297.8,142892774,64380260.82,577066972
SELL,11/19/2008,415485600,476114400,373580400,43688400,474331200
SELL,11/20/2008,393921916,241436013,149309113.3,52734708.11,433949465.5
SELL,11/23/2008,320098072.3,363872167.7,81392458.56,74552756.16,528025025.3
SELL,11/24/2008,350033313.3,228534146.7,155634646.7,49756801.56,373176011.7
SELL,11/25/2008,419379300.9,179733986.1,119223544.1,65902461.57,413388168
SELL,11/26/2008,492098031.8,190423510.2,100330666.7,58014331.07,524176544.3
SELL,11/27/2008,274052760.8,218847888.2,131604473.3,31052740.89,330243434.8
SELL,11/30/2008,388172450.3,194669066.7,75769397.21,39050381.64,468021738.2
SELL,12/1/2008,261981347.1,386487333.9,268466033.9,47986682.39,332015964.7
SELL,12/2/2008,302624358.4,187852721.6,130957380.4,33352441.44,326167258.2
SELL,12/3/2008,298335497.6,393858232.4,182739144.7,45684786.18,464461992.8
SELL,12/4/2008,413558882.3,308184367.8,229514353.5,50522027.5,442428612.3
SELL,12/10/2008,246420000,164280000,101442900,23820600,285436500
SELL,12/11/2008,444982048.1,189799760.9,93312925.92,38086908.54,503381974.5
SELL,12/14/2008,424228476.7,187933827.3,75295963.39,65501366.53,471364974.1
SELL,12/15/2008,379870306.5,196564149.5,70901438.09,61678486.79,443854531.1
SELL,12/16/2008,529969439.8,399801507.2,210128234,136676329.2,582036612.8
SELL,12/17/2008,424761736.2,252689198.8,132102932.3,60293133.22,485054869.5
SELL,12/18/2008,328661762.9,121559830.1,95897199.31,24311966.02,330012427.7
SELL,12/21/2008,237640578.7,169976194.3,87229989.42,28533174.11,290223142.4
SELL,12/22/2008,254864175.9,193840359.1,126085974.3,45319158.04,277299402.6
SELL,12/23/2008,277309357.8,149977788.2,63665784.75,58111051.86,305510309.4
SELL,12/24/2008,271594165,89088657.03,31740088.34,29215308.58,299727425.1
SELL,12/25/2008,670095208.4,58269148.56,17480744.57,26221116.85,684662495.6
SELL,12/28/2008,204467443.7,72964637.3,24968887.29,17200789.02,257734403.2
SELL,1/4/2009,193864500,384835500,11574000,16782300,550343700
SELL,1/5/2009,510095546.7,162853723.3,81426861.67,55181840.14,536340568.2
SELL,1/6/2009,536345901.3,165677529.7,80030671.13,56863897.91,565128862
SELL,1/8/2009,482558229.7,192348385.3,99886179.02,64791035.04,510229400.9
SELL,1/11/2009,465949720.4,143932112.6,76235229.13,39642319.15,494004284.7
SELL,1/12/2009,488457768,213349370,157906606.1,37897585.45,506704753.6
SELL,1/13/2009,403104028.3,290706691.7,180390787.2,38853400.32,474566532.5
