Date,Retail,Institutional,Foreign,Regional,Local
2008-08-18 00:00:00,18194000.0000001,-18194000.0,-79143900.0,9097000.0,54582000.0
2008-08-19 00:00:00,15958400.0,-15958400.0,-109714000.0,8976600.0,101734800.0
2008-08-20 00:00:00,-37783200.0000001,37783200.0,-67470000.0,39582400.0,27887600.0
2008-08-21 00:00:00,-88206213.3199999,88206213.3199999,61280106.096,-14855783.296,-47352809.2559999
2008-08-24 00:00:00,-47533333.1840001,114377082.974,69814583.114,-33421874.895,-34907291.5569999
2008-08-25 00:00:00,7648982.17600006,-7648982.17600003,-25728394.592,16688688.384,9039706.208
2008-08-26 00:00:00,-1577785665.917,1577785665.917,-11827478.755,-21289461.759,35482436.2649999
2008-08-27 00:00:00,-62738200.0000001,62738200.0,-54322100.0,6120800.00000002,48201299.9999999
2008-08-28 00:00:00,-26103932.64,26103932.6399999,56075114.56,-53174677.6,-2900436.96000004
2008-08-31 00:00:00,0.0,0.0,38969257.068,-181154384.208,142185127.14
2008-09-01 00:00:00,-3595673.33600002,3595673.33600002,60227528.378,-117758301.754,56631855.0420001
2008-09-02 00:00:00,160866879.128,-160866879.128,-105763307.272,-95986867.104,201750174.376
2008-09-03 00:00:00,-12194554.1999999,12194554.2000001,-3048638.54999995,-14226979.9,16259405.6
2008-09-04 00:00:00,-121829778.292,121829778.292,13412452.656,168773362.588,-182185815.244
2008-09-07 00:00:00,0.0,0.0,43059126.882,-200166751.992,157107625.11
2008-09-08 00:00:00,42767500.6110001,-42767500.6109999,-29807651.941,-15551818.404,45359470.345
2008-09-09 00:00:00,3645683.00099993,-3645683.00099999,-13367504.337,-15797959.671,53470017.3479999
2008-09-10 00:00:00,-21371393.648,21371393.648,-104607347.856,46117217.872,58490129.984
2008-09-11 00:00:00,39448008.99,-39448008.99,75861555.75,10620617.805,-86482173.5549999
2008-09-14 00:00:00,100153425.147,-100153425.147,-121324067.861,814255.489,119695556.883
2008-09-15 00:00:00,80861679.15,-80861679.15,-77627211.984,-23719425.884,100268482.146
2008-09-16 00:00:00,64140394.7409999,-64140394.741,-161928209.674,12617782.572,149310427.102
2008-09-17 00:00:00,-51537282.3840001,51537282.3840001,-6722254.22400004,-1120375.70400001,7842629.92799997
2008-09-18 00:00:00,-70749525.1839999,70749525.184,-32058378.599,47534837.233,-16581919.9649999
2008-09-21 00:00:00,50390904.3560001,-50390904.356,17443005.354,-11628670.236,-6783390.97099996
2008-09-22 00:00:00,-33500498.02,33500498.02,11420624.325,0.0,-11420624.325
2008-09-23 00:00:00,43130113.193,-43130113.193,-117848478.302,59531705.534,58316772.7679999
2008-09-24 00:00:00,29683964.74,-29683964.74,-144799828.0,15203981.94,129595846.06
2008-09-25 00:00:00,29391075.0180001,-29391075.018,-180700683.444,7619908.33799999,174169333.44
2008-10-07 00:00:00,2273400.0,-2273400.0,-89420400.0,-12882600.0,103060800.0
2008-10-08 00:00:00,-55761756.6,55761756.6,-254564541.0,2424424.2,252140116.8
2008-10-09 00:00:00,-13868527.035,13868527.035,-218198158.684,-58247813.547,275521403.762
2008-10-12 00:00:00,-96561804.256,96561804.256,-35241534.4,-24669074.08,59910608.48
2008-10-13 00:00:00,-8521456.58399999,8521456.58399999,56809710.56,-11361942.112,-46868011.2120001
2008-10-14 00:00:00,53872326.8099999,-53872326.81,-44295024.266,-16760279.452,62252466.536
2008-10-15 00:00:00,-30496359.864,30496359.864,11805042.528,-55090198.464,45252663.0239999
2008-10-16 00:00:00,26101394.748,-26101394.748,-27683297.46,-11073318.984,37174713.732
2008-10-19 00:00:00,26316998.11,-26316998.11,-87909972.41,-29676614.89,117586587.3
2008-10-20 00:00:00,17332706.863,-17332706.863,-38251491.008,5379115.92299999,33470054.632
