BUY,Date,Retail,Institutional,Foreign,Regional,Local
BUY,8/18/2008,550368500,359331500,131906500,68227500,712295100
BUY,8/19/2008,554554400,442845600,166565800,78794600,753037000
BUY,8/20/2008,516370400,383229600,170924000,133140800,595535200
BUY,8/21/2008,521809388.3,406677067.7,225622208.8,74278916.48,628585330.7
BUY,8/24/2008,453052081.9,289656249.1,166366666.1,88382291.39,488702081.8
BUY,8/25/2008,475627618.9,219734397.1,105695026.4,101522854.3,488839497.2
BUY,8/26/2008,418692747.9,1946803003,68599376.78,101716317.3,2197545553
BUY,8/27/2008,462120400,302979600,84926100,117060300,563113600
BUY,8/28/2008,573319705.8,393492614.2,232034956.8,100548481.3,635195694.2
BUY,8/31/2008,704606296.7,348616867.3,182207607.4,65299836.17,805715720.5
BUY,9/1/2008,512383450.4,386534883.6,216639318.5,70115630.05,611264467.1
BUY,9/2/2008,593696548.4,295070739.6,123538653,112873445.6,652355189.4
BUY,9/3/2008,573144047.4,443068802.6,281490959.5,139221160.5,595500730.1
BUY,9/4/2008,570029237.9,547675150.1,267131348.7,264895940,585677099.3
BUY,9/7/2008,778555564.4,385204621.6,201330512.2,72153131.53,890276542.3
BUY,9/8/2008,851462057.6,444522809.4,312332352.9,119230607.8,865717891.2
BUY,9/9/2008,817848219.9,397379447.1,234538939.7,109370490,872533464.9
BUY,9/10/2008,692883078.3,431927113.7,175470390,148474945.3,800864856.7
BUY,9/11/2008,779856793.1,737374321.9,408135169.9,86482173.56,1022613772
BUY,9/14/2008,631048004,183207485,88753848.3,52926606.79,672575033.9
BUY,9/15/2008,678159949.1,399995772.9,210240365.8,127222375.2,740692981
BUY,9/16/2008,625631719.2,425850161.8,185060811.1,135641162.6,730779907.3
BUY,9/17/2008,534419210.8,585956493.2,268890169,123241327.4,728244207.6
BUY,9/18/2008,563785278.8,541676052.2,373645929.9,112757055.8,619058345.4
BUY,9/21/2008,617288578.4,351767274.6,279088085.7,86245970.92,603721796.4
BUY,9/22/2008,449211223.5,312163731.6,198718863.3,69285120.91,493370970.8
BUY,9/23/2008,375414224.7,232052158.3,112988747.2,76540764.26,417936871.5
BUY,9/24/2008,486527422.1,237471717.9,94119888.2,75295910.56,554583341.2
BUY,9/25/2008,433246216.9,655312117.1,455017383.6,68579175.04,566050333.7
BUY,10/7/2008,259925400,497874600,165200400,28038600,565318800
BUY,10/8/2008,489733688.4,722478411.6,183044027.1,130918906.8,898249166.1
BUY,10/9/2008,478926466.9,445642002.1,47152991.92,53624971.2,823790505.9
BUY,10/12/2008,366511957.8,338318730.2,103610111.1,23964243.39,577256333.5
BUY,10/13/2008,535431522,884811242,417551372.6,92315779.66,910375611.7
BUY,10/14/2008,676396992.2,520765825.8,319642472.4,61055303.72,817662204.7
BUY,10/15/2008,476136715.3,507616828.7,244954632.5,28528852.78,711253812.3
BUY,10/16/2008,444514662.1,346436693.9,133670779.2,38756616.44,617733009
BUY,10/19/2008,306844999.2,253091130.8,25197125.85,23517317.46,511221686.7
BUY,10/20/2008,323942314.5,273737232.5,120731268.5,55584197.87,421961760.2
BUY,10/21/2008,432228990.2,332538613.6,173746085,72631560.14,465696473.8
BUY,10/22/2008,442511417.1,340694630.9,102599992.3,38377096.35,642228959.4
BUY,10/23/2008,349230826.3,302319222.7,82095306.17,50169353.77,519936939.1
BUY,10/26/2008,335386000,193614000,85698000,74589000,368713000
BUY,10/27/2008,319198960.2,349981249.8,157257349.4,20744586.51,491178274.1
BUY,10/28/2008,428904306.5,407166466.5,132935252.9,87787431.17,615348088.9
BUY,10/29/2008,506934748.8,271766862.2,179880072.1,59960024.05,539640216.4
BUY,10/30/2008,411174178.8,272975869.2,137514159.6,51995403.65,494640484.7
BUY,11/2/2008,477651128.2,301551364.8,98179514.12,32726504.71,648296474.2
BUY,11/3/2008,612135840.3,397989308.7,244450286.1,52526507.75,713148355.2
BUY,11/4/2008,579000000,421000000,185000000,54000000,761000000
BUY,11/5/2008,566500000,533500000,356400000,81400000,708400000
BUY,11/6/2008,678851729.7,313621559.3,181622611.9,73443023.39,738400127
BUY,11/9/2008,596870400,291329600,182969200,33751600,671479200
BUY,11/10/2008,817217288.2,296157763.8,79049628.69,105770629.9,928554793.4
BUY,11/11/2008,876379295,270714023,50472105.99,56207572.58,1040413639
BUY,11/12/2008,657225667.6,186452981.4,59901184.08,52308076.24,731469388.7
BUY,11/13/2008,630235046.2,317486827.8,54967868.69,47386093.7,845367911.6
BUY,11/16/2008,566182470.2,146893688.8,81290682.13,34227655.63,597557821.2
BUY,11/17/2008,668559029.9,243526959.1,143197500.3,59285589.29,709602899.4
BUY,11/18/2008,528389213.8,256735918.2,119339020.1,58099259.77,608471977.3
BUY,11/19/2008,451149600,440450400,131956800,42796800,717738000
BUY,11/20/2008,503838837.7,131519091.3,73701519.76,38121475.74,523534933.5
BUY,11/23/2008,286583530.6,397386709.4,82076428.8,47193946.56,554699864.6
BUY,11/24/2008,368547472,210019988,74635202.34,23721265.86,480210991.8
BUY,11/25/2008,355274179.2,243839107.8,174941079.8,24563644.77,399608562.4
BUY,11/26/2008,460702040.9,221819501.2,138551873,30030947.85,513938721.1
BUY,11/27/2008,256308337.5,236592311.5,134561877.2,26123734.4,332215037.4
BUY,11/30/2008,368938680.3,213902836.7,86843386.03,27393551.3,468604579.7
BUY,12/1/2008,250308910.9,398159770.1,269762971.3,45392807.67,333312902
BUY,12/2/2008,273686210.6,216790869.4,104962095.1,30900056.04,355105405.9
BUY,12/3/2008,362017320.8,330176409.2,65066210.62,56759885.86,569675439.8
