TOTAL,Date,Retail,Institutional,Foreign,Regional,Local,Total Turnover
TOTAL,1/29/2012,371731390.5,226869882.5,140072697.9,47888101.84,410640473.3,598601273
TOTAL,1/30/2012,295222512.6,156879344.4,87707760.26,30742926.28,333651170.5,452101857
TOTAL,1/31/2012,359454226.7,249790225.3,165105246.5,36554667.12,407584538.4,609244452
TOTAL,2/1/2012,321705294.4,142515909.6,79846047.09,28317493.44,356057663.5,464221204
TOTAL,2/2/2012,363876958.5,161956796.5,78875063.25,47325037.95,399633653.8,525833755
TOTAL,2/6/2012,195293183.7,142000743.3,80613248.55,26308926.31,230371752.1,337293927
TOTAL,2/7/2012,239767536.4,171497534.6,106517653.4,19740723.41,285006694.2,411265071
TOTAL,2/8/2012,303178044.2,196291550.8,86907709.53,50446429.1,362115456.4,499469595
TOTAL,2/9/2012,423396608.2,275277662.8,189340727.4,54496593.14,454836950.4,698674271
TOTAL,2/12/2012,441790873.3,134207657.7,52415866.32,61631842.82,461950821.9,575998531
TOTAL,2/13/2012,470320391.8,237993451.2,126079864.1,48873655.17,533360323.8,708313843
TOTAL,2/14/2012,600757406.3,262399786.7,163136709.5,63010475.09,637010008.4,863157193
TOTAL,2/15/2012,456207175.7,157799790.3,73680835.92,26402299.54,513923830.5,614006966
TOTAL,2/16/2012,449588069.4,223447962.6,109031837.2,49131630.34,514872564.5,673036032
TOTAL,2/19/2012,459808737.4,202739875.6,100044840.6,35115076.49,527388695.9,662548613
TOTAL,2/20/2012,512471647.8,539741555.9,139304484.2,33770784.04,671194332.8,844269601
TOTAL,2/21/2012,399405597.4,150739853.6,84722399.45,25306690.75,440116360.8,550145451
TOTAL,2/22/2012,312204935.2,125056878.8,78269864.71,24486661.58,334942549.5,437261814
TOTAL,2/23/2012,508579696.5,234957871.5,165065340.1,46099329.22,532372898.7,743537568
TOTAL,2/26/2012,509175361.3,167020337.7,96019789.26,35162176.35,544337537.7,676195699
TOTAL,2/27/2012,482771150.9,136960750.1,71269168.62,31606326.95,517476137.3,619731901
TOTAL,2/28/2012,469825127.4,141926340.6,71574921.76,45269608.63,494906937.6,611751468
TOTAL,2/29/2012,485923522.8,285383656.2,192826794.8,50906273.81,527574110.4,771307179
TOTAL,3/1/2012,465533204.3,260701826.5,166602350.7,47049737.92,556883783.2,703222363
TOTAL,3/4/2012,447364214.2,176574717.8,87351450.48,64265710,472321771.5,623938932
TOTAL,3/5/2012,443240678.7,196356260.3,101695913.3,47330173.49,489931255.3,639596939
TOTAL,3/6/2012,540683523.2,248635488.8,123133765.9,64724158.98,601461087.1,789319012
TOTAL,3/7/2012,563349582.3,253099087.7,109404121.8,57967855.57,649076692.7,816448670
TOTAL,3/8/2012,401363665.5,210471190.5,113189448.4,78314861.57,420330546.1,611834856
TOTAL,3/11/2012,393065510.5,169259969.5,44423712.92,118088350.8,399813416.3,562325480
TOTAL,3/12/2012,444849180.9,187937705.1,98714754.22,74668852.55,459403279.2,632786886
TOTAL,3/13/2012,384091957.3,197865553.7,82056009.05,42482898.3,457418603.6,581957511
TOTAL,3/14/2012,354557024.7,252561168.3,140244302.6,46140982.67,420732907.7,607118193
TOTAL,3/15/2012,305639749.8,190528675.2,126026780,37708800.3,332432844.8,496168425
TOTAL,3/18/2012,171557500,38942500,17471500,10104000,182924500,210500000
TOTAL,3/19/2012,236075465,107556944,74224600.34,35050505.72,234357302.9,343632409
TOTAL,3/20/2012,330721384.7,157068268.3,88777716.85,48778965.3,350232970.9,487789653
TOTAL,3/21/2012,252269623.6,113869162.4,58216066.97,35515462.24,272041118,366138786
TOTAL,3/22/2012,226062095.3,103474486.7,60634731.09,21749414.41,247152436.5,329536582
TOTAL,3/25/2012,250006426.5,90138371.47,37415927.78,37415927.78,265653087.2,340144798
TOTAL,3/26/2012,252279968.6,136441092.4,79299096.44,25655590.03,283766374.5,388721061
TOTAL,3/27/2012,219323600.5,206547468.5,157572295.5,16608971.69,251689801.8,425871069
TOTAL,3/28/2012,308164965.5,167576920.5,102863105.7,33479975.3,339398805,475741886
TOTAL,3/29/2012,293682220.6,178475690.4,118511635.7,44855001.55,308791273.8,472157911
TOTAL,4/1/2012,153491120,66410198.04,52336513.68,9455756.674,158109047.6,219901318
TOTAL,4/2/2012,179570567.6,168434408.4,128657439.6,11727767.69,207619768.7,348004976
TOTAL,4/3/2012,213411204.2,164977455.8,122219537.2,56001521.68,200167601.1,378388660
TOTAL,4/4/2012,200956657.3,171185300.7,106693099.4,34646416.29,230802442.4,372141958
TOTAL,4/5/2012,218533041.8,161524422.2,79812067.44,32684941.9,267180397.2,380057464
TOTAL,4/8/2012,177432500.4,61694858.62,28934410.44,26304009.49,183888939.1,239127359
TOTAL,4/9/2012,212344125,94511546.98,41732371.39,38970670.34,226152630.3,306855672
TOTAL,4/10/2012,210539822.1,137459883.9,73079938.26,26795977.36,248123790.4,347999706
TOTAL,4/11/2012,229722055.8,194902816.2,92992846.97,31422240.53,300209784.5,424624872
TOTAL,4/12/2012,235370689.9,189486151.1,134254761.8,28890265.19,261711814.1,424856841
TOTAL,4/17/2012,133497894.5,129293236.5,108532737.1,14716303.34,139542090.6,262791131
TOTAL,4/18/2012,146984152.1,107313688.9,69677608.43,23141103.53,161479129,254297841
TOTAL,4/19/2012,175893410.4,134324244.6,104233132.1,53667654.32,152316868.6,310217655
TOTAL,4/22/2012,239880791.3,71248639.7,37024402.29,19912283.58,254192745.1,311129431
TOTAL,4/23/2012,421111189.4,367486543.6,226327549.4,76493980.1,485776203.5,788597733
TOTAL,4/24/2012,289770446.6,197238707.4,136362563.1,38960732.32,311685858.6,487009154
TOTAL,4/26/2012,288511434.6,247755172.4,197882378,30567196.6,307817032.4,536266607
TOTAL,4/29/2012,210167665.1,46761020.85,20297366.19,22609724.37,214021595.4,256928686
TOTAL,4/30/2012,223803587.4,126985734.6,98571799.48,23502884.57,228714637.9,350789322
TOTAL,5/2/2012,218383879.9,138452525.1,100271029.8,26762730.38,229802644.8,356836405
TOTAL,5/3/2012,201878010.8,118563276.2,78508115.32,40375602.16,201557569.5,320441287
TOTAL,5/7/2012,196636750.3,40847247.66,18523751.84,14961491.87,203998754.3,237483998
TOTAL,5/8/2012,226169993.6,161771676.4,87286875.75,35302691.97,265352102.3,387941670
TOTAL,5/9/2012,201504800.2,131011371.8,91441947.3,28928906.96,212477833.9,332516172
TOTAL,5/10/2012,168972214.7,107126175.3,69576794.28,20707379.25,185814216.5,276098390
TOTAL,5/13/2012,198960819.2,70268976.76,33922954.3,25576830.62,209730011.1,269229796
TOTAL,5/14/2012,230454811,156864199.1,101597649.5,30722143.87,254999216.6,387319010
TOTAL,5/15/2012,188966413.6,177958661.4,100170545.5,20914729.28,245839800.3,366925075
TOTAL,5/16/2012,169378976.8,161439337.2,98253039.26,15217642.44,217678450.6,330818314
TOTAL,5/17/2012,219164123.3,154198948.7,101181392.5,21655058.18,250153258.2,373363072
TOTAL,5/20/2012,129807774.4,116975066.6,88595039.92,11352010.69,146835790.4,246782841
TOTAL,5/21/2012,158339192.3,132191435.7,67403105.7,55781880.58,167055111.1,290530628
TOTAL,5/22/2012,119958512,91982321.96,59131492.69,20558260.9,132251080.4,211940834
TOTAL,5/23/2012,196091910,196091910,106673999,71769639.06,213740181.9,392183820
TOTAL,5/24/2012,177832250.1,158971253.9,85548090.02,90600142.58,160655271.4,336803504
TOTAL,5/27/2012,9472376.622,239800692.4,141337830.1,6481099.794,101454139.1,249273069
TOTAL,5/28/2012,154070733.4,86664787.56,54165492.23,13240453.66,173329575.1,240735521
TOTAL,5/29/2012,116657853.8,135848323.2,73731803.68,59338951.6,119435421.7,252506177
TOTAL,5/30/2012,206128831.2,120541265.8,89180936.48,84607555.12,152554935.3,326670097
TOTAL,5/31/2012,170905403.8,236983388.2,145208410,55064986.92,207615395.1,407888792
TOTAL,6/3/2012,102145706.7,43985490.3,31418207.36,9936921.396,104776068.2,146131197
TOTAL,6/4/2012,65346931.69,92115554.31,35271596.86,11179836.51,111011052.6,157462486
TOTAL,6/5/2012,130800497.5,83978644.52,60567718.04,15034539.94,139176884,214779142
TOTAL,6/6/2012,91853879.23,55821167.77,38838537.36,13733779.37,95102730.27,147675047
TOTAL,6/7/2012,78452609.23,45877991.77,31704303.26,6838183.055,85788114.69,124330601
TOTAL,6/10/2012,55983952.1,25034791.9,20659779.72,2997693.528,57361270.75,81018744
TOTAL,6/11/2012,113317369.2,54560214.8,32400373.71,16787758.4,118689451.9,167877584
TOTAL,6/12/2012,112288685.8,61532809.23,43455373.75,15296291.56,114896008.2,173821495
TOTAL,6/13/2012,166529378.3,106917876.7,77385573.17,24063358.44,171998323.4,273447255
TOTAL,6/14/2012,154142591.8,151090263.2,124229772,18619204.16,162383878.9,305232855
TOTAL,6/18/2012,120900725.5,94225120.55,65828508.88,14198305.84,135099031.3,215125846
TOTAL,6/19/2012,133128738.3,110696789.7,77780343.43,12191276.4,153853908.2,243825528
TOTAL,6/20/2012,125185350.5,112809612.5,73778438.53,44743053.04,119473471.4,237994963
TOTAL,6/21/2012,102165973.8,88798463.21,59580904.34,25016341.25,106367191.4,190964437
TOTAL,6/24/2012,133788850.4,55982568.61,24860055.89,17648741.97,147262621.1,189771419
TOTAL,6/25/2012,345393113.8,173995027.2,117381719.9,53496978.52,348509442.6,519388141
TOTAL,6/26/2012,309026297.2,210345630.8,132491778.8,46483787.56,340396361.6,519371928
TOTAL,6/27/2012,267603825,130024444,84893635.43,30219748.44,282514885.1,397628269
TOTAL,6/28/2012,329167578.4,458314666.6,250419353.9,192933150,343342258.8,787482245
TOTAL,7/2/2012,475998388.7,275973789.3,180473322.7,63917635.13,507581220.2,751972178
TOTAL,7/3/2012,404198026.3,209152544.7,147970825.3,49515791.6,415863954.1,613350571
TOTAL,7/4/2012,308074663.9,79928691.13,36860318.73,30264261.69,320878774.6,388003355
TOTAL,7/5/2012,281611611.9,120116793.1,74721483.33,24907161.11,302099760.6,401728405
TOTAL,7/8/2012,330667732.5,42125652.51,20130842.79,20130842.79,332531699.4,372793385
TOTAL,7/9/2012,297331253.6,131718174.4,74225551.04,29604410.53,325219466.4,429049428
TOTAL,7/10/2012,187237726.6,94746801.41,61472627.1,18047009.79,202464891.1,281984528
TOTAL,7/11/2012,216282054.3,100382739.7,68399595.5,24066524.34,224198674.2,316664794
TOTAL,7/12/2012,281570920.9,108416504.2,69807749.08,23009258.08,297170417.9,389987425
TOTAL,7/15/2012,138814779.8,22036645.23,7077462.7,10937896.9,142836065.4,160851425
TOTAL,7/16/2012,188204877.1,104038720.9,74229873.89,20457051.86,197264428.7,292243598
TOTAL,7/17/2012,180252630.4,232224784.6,146841959.7,75895844.36,189327133.5,412477415
TOTAL,7/18/2012,110724016,93941447.98,63446293.84,28857830.42,112361339.7,204665464
TOTAL,7/19/2012,191643878.9,109209934.1,77921137.57,32492211.8,190440463.6,300853813
TOTAL,7/22/2012,137376991.3,130414414.7,67751225.72,25440183.57,174599996.7,267791406
TOTAL,7/24/2012,271486518.8,257726968.2,171465169.8,28048314.81,329700002.4,529213487
TOTAL,7/25/2012,150307788.7,61691913.28,41127942.19,19503972.58,151367787.2,211999702
TOTAL,7/26/2012,200535585.4,83107392.55,51623022,15316720.81,216703235.2,283642978
TOTAL,7/29/2012,149507013.7,21163093.27,11946907.49,9045515.671,149677683.8,170670107
TOTAL,7/30/2012,209856986.5,131929636.5,109371719.4,19823624.13,212591279.5,341786623
TOTAL,7/31/2012,294212908.2,116698974.8,81360552.83,36160245.7,293391084.5,410911883
TOTAL,8/1/2012,249427470.1,115232573.9,83507150.08,30631443.7,250521450.2,364660044
TOTAL,8/2/2012,281819281.4,171995986.6,124345383.4,49465864.21,280004020.4,453815268
TOTAL,8/5/2012,227238654.1,60405211.86,13806905.57,20998002.22,252838958.2,287643866
TOTAL,8/6/2012,283305765.7,96460676.27,47091038.81,27343183.82,305332219.4,379766442
TOTAL,8/7/2012,248388275.1,94689452.93,61067835.58,21956974.59,260052917.8,343077728
TOTAL,8/8/2012,229848435,250002160,215452917.2,16794770.83,247602907,479850595
TOTAL,8/9/2012,153925366.7,116119136.3,98296199.09,20523382.23,151224921.7,270044503
TOTAL,8/12/2012,139115863.9,20603842.07,10541500.6,6708227.652,142469977.8,159719706
TOTAL,8/13/2012,250374841.3,190425935.7,117693807.5,63034511.11,260072458.4,440800777
TOTAL,8/14/2012,210073351.1,150877424,106841429.4,30319865.1,223789480.5,360950775
TOTAL,8/15/2012,257645039.8,331931710.3,273563612,61315982,254697156,589576750
TOTAL,8/16/2012,312591191.8,145753664.2,82502074.08,42626071.61,333216710.3,458344856
TOTAL,8/21/2012,225588240,77621760,58822740,17889390,226497870,303210000
TOTAL,8/22/2012,249924794.9,74231878.12,51216754.33,19449400.38,253490518.3,324156673
TOTAL,8/23/2012,420674202.8,198875433.2,132583622.1,56998566.51,429347897.7,619549636
TOTAL,8/26/2012,370199746.6,111831173.4,48685122.92,32296071.64,401531756.4,482030920
TOTAL,8/27/2012,458762665.6,176642688.4,99123235.22,37488915.89,498793202.9,635405354
TOTAL,8/28/2012,493429550.7,302424563.3,202146945,79585411.4,514121757.6,795854114
TOTAL,8/29/2012,374564993.4,141364749.6,104733737.8,66039007.1,345156998.1,515929743
TOTAL,8/30/2012,472690074.4,191200479.6,107550269.7,45144557.67,511195726.6,663890554
TOTAL,9/2/2012,473561107.9,145473020.1,61903412.8,66236651.7,490894063.5,619034128
TOTAL,9/3/2012,577702791,173536209,97661070,51084252,602493678,751239000
TOTAL,9/4/2012,639257337.8,244916020.2,136162697.1,81343948.94,666666711.9,884173358
TOTAL,9/5/2012,421312770.8,260423104.3,194294724.4,56584077.63,430857073,681735875
TOTAL,9/6/2012,474946260.9,182874045.1,116434194.2,40784858.97,500601252.9,657820306
TOTAL,9/9/2012,510378233.2,151590940.8,76788424.18,50309657.22,534871092.6,661969174
TOTAL,9/10/2012,517559483.7,238001806.4,148845574.1,67244954.81,539470761.1,755561290
TOTAL,9/11/2012,725111750.4,250812543.6,160051584.2,87833186.46,728039523.3,975924294
TOTAL,9/12/2012,725596370.7,294932983.3,199003224,81642348.32,739883781.7,1020529354
TOTAL,9/13/2012,669558656.7,225573237.3,116367146.2,74295947.2,705363932.5,895131894
TOTAL,9/16/2012,801286515.3,222351884.7,91195012.61,91195012.61,842273037.8,1024663063
TOTAL,9/17/2012,1022798371,346409622.2,177997039.1,99952183.49,1091258770,1369207993
TOTAL,9/18/2012,935793069.1,244273852.9,130987428.3,120366826,928712667.6,1180066922
TOTAL,9/19/2012,739064224.6,191747141.4,96804382.06,59571927.42,774435056.5,930811366
TOTAL,9/20/2012,648494650.5,254701241.5,146317734.5,70449279.58,686428877.9,903195892
TOTAL,9/23/2012,539784204.4,118489215.6,57269787.54,50028779.92,550974852.5,658273420
TOTAL,9/24/2012,565426018.5,257610398.5,165430319.8,56789512.77,600816584.4,823036417
TOTAL,9/25/2012,683097700.5,305466265.5,193758537.3,79085117.28,715720311.4,988563966
TOTAL,9/26/2012,611257110.4,166423691.6,79323441.8,57548379.35,640808980.8,777680802
TOTAL,9/27/2012,595066253.3,167839199.7,78579261.66,70950207.13,613375984.2,762905453
TOTAL,9/30/2012,434650890.4,98663085.56,49598199.77,27199012.78,456516763.5,533313976
TOTAL,10/1/2012,573176631.2,277233800.8,167530855.1,48473394.62,633555771.8,850410432
TOTAL,10/2/2012,386117539.7,160017594.3,66628486.35,56251918.8,423800864,546135134
TOTAL,10/3/2012,299837818,159331888,115710765.9,29386861.18,314072078.9,459169706
TOTAL,10/4/2012,483702972.3,179812764.7,94219234.65,81612435.65,487684066.7,663515737
TOTAL,10/8/2012,385415717.9,206620715.1,113078958.7,75188626.99,403768847.3,592036433
TOTAL,10/9/2012,442707815.2,228061601.8,146227732.9,58356939.28,466184744.8,670769417
TOTAL,10/10/2012,398974222.9,175089407.2,99313007.99,63721062.93,411029559.1,574063630
TOTAL,10/11/2012,704067752.8,118441304.2,69913269.85,31255344.17,721340443,822509057
TOTAL,10/14/2012,327317520.2,55509988.81,22969650.54,18375720.43,341482138,382827509
TOTAL,10/15/2012,347287527.7,99097469.33,59815589.6,23212019.84,363357387.6,446384997
TOTAL,10/16/2012,378927995.3,188329482.7,100971831.1,61831065.1,404454581.8,567257478
TOTAL,10/17/2012,423908104.4,175679030.6,82743024.63,65354997.72,451489112.7,599587135
TOTAL,10/18/2012,390434939.7,188845386.3,115856065.2,56190191.62,407234069.2,579280326
TOTAL,10/21/2012,277909646.5,65188682.51,33623636.24,28134062.98,281683728.1,343098329
TOTAL,10/22/2012,250575695.9,74004221.08,38949590.04,25966393.36,259663933.6,324579917
TOTAL,10/23/2012,290941358.6,88877647.4,35702986.56,29625882.47,314490137,379819006
TOTAL,10/24/2012,421857838.8,164055826.2,92574359.07,58591366.5,434747939.4,585913665
TOTAL,10/29/2012,365649371.1,213826652.9,169786475,42301749.75,367387799.2,579476024
TOTAL,10/30/2012,411706869.2,112093218.8,56046609.42,43999207.39,423754271.2,523800088
TOTAL,10/31/2012,312176595.4,89595084.64,61471067.04,26918702.56,313381910.4,401771680
TOTAL,11/1/2012,393254701.4,137453397.6,81729047.25,43518064.12,405460987.6,530708099
TOTAL,11/4/2012,301987798.5,82220596.53,39957673.08,30736671.6,313514050.3,384208395
TOTAL,11/5/2012,333809277.8,155647141.2,86633786.16,43072164.87,359750468,489456419
TOTAL,11/6/2012,239678019,112789656,75075614.78,24672737.25,252719323,352467675
TOTAL,11/7/2012,264965595.6,145833777.4,91608260.18,35739545.45,283451567.4,410799373
TOTAL,11/8/2012,200960225,146121338,118701894.5,17354078.15,211025590.3,347081563
TOTAL,11/11/2012,168104533.3,30131944.66,12885371.07,13281844.03,172267499.4,198236478
TOTAL,11/12/2012,232357011.7,79113513.35,46409108.23,20868525.18,243881421.1,311470525
TOTAL,11/13/2012,226937986.8,124903853.2,92886245.76,23221561.44,235734032.8,351841840
TOTAL,11/14/2012,216861414.3,155752699.7,123335271.7,16395021.02,232883821.3,372614114
TOTAL,11/18/2012,224416713.1,55404624.92,31339989.86,14550709.58,233930638.6,279821338
TOTAL,11/19/2012,295979104.9,106166418.1,71581903.09,26139459,304424160.9,402145523
TOTAL,11/20/2012,267849139.7,121466470.3,76305859.56,22580305.38,290818760.7,389315610
TOTAL,11/21/2012,218989318.6,116883869.4,72548608.61,17465405.78,245859173.6,335873188
TOTAL,11/22/2012,207040406.5,54704734.47,38214790.59,9422825.076,214107525.3,261745141
TOTAL,11/25/2012,198685641.5,129720377.5,53858587.12,34154225.98,240393205.9,328406019
TOTAL,11/26/2012,284327627.5,124776872.5,62592988.5,58092839,288418672.5,409104500
TOTAL,11/27/2012,150724618.9,66457829.09,36921016.16,21718244.8,158543187,217182448
TOTAL,11/28/2012,277557148.4,162311549.6,103809012.7,41787526.31,294272159,439868698
TOTAL,11/29/2012,208018012.7,155015168.3,91847394.79,43927014.9,227258771.3,363033181
TOTAL,12/2/2012,153613636.7,46144018.31,27366798.74,15980612.4,156410243.9,199757655
TOTAL,12/3/2012,136971787.1,89802694.87,71433961.83,16781311.67,138559208.5,226774482
TOTAL,12/4/2012,251993072.3,127514566.7,81594142.39,35673718.07,262239778.5,379507639
TOTAL,12/5/2012,228388549.3,130149204.7,73858777.32,22946416.26,261732560.4,358537754
TOTAL,12/6/2012,218159524.1,188096572.9,111314170.6,47938219.45,247003707,406256097
TOTAL,12/9/2012,135883684.2,86876453.82,44552027.6,18934611.73,159273498.7,222760138
TOTAL,12/10/2012,171823160.9,112652271.1,82782350.71,10525590.98,191167490.3,284475432
TOTAL,12/11/2012,108191505.6,58770694.4,46749416,11687354,108525430,166962200
TOTAL,12/12/2012,317342235.1,150024826.9,106559690.1,38791466.15,322015905.7,467367062
TOTAL,12/13/2012,300121335.2,169552115.8,110842934.4,53542773.41,305287743.2,469673451
TOTAL,12/16/2012,319562944.1,119397143.9,71989454.43,38628487.74,328342145.8,438960088
TOTAL,12/17/2012,328786409.1,114919945.9,63006302.41,23960143.17,356739909.4,443706355
TOTAL,12/18/2012,321630589.8,129717417.2,51905020.81,65445461.02,333997525.2,451348007
TOTAL,12/19/2012,403895891.6,158633205.4,90567184.62,61878200.67,410083711.7,562529097
TOTAL,12/20/2012,400833018.4,175905137.6,89394414.18,51906434.04,436014045.9,576738156
TOTAL,12/23/2012,351499380.8,58173557.2,21302992.78,30315797.41,358054147.8,409672938
TOTAL,12/24/2012,258741434.2,64281579.79,32302301.4,22611610.98,268109101.6,323023014
TOTAL,12/25/2012,255526286.7,452302762.3,18403555.27,16280068.13,673853254.6,707829049
TOTAL,12/26/2012,282792575,77912240.04,13706782.97,15510307.05,331487725,360704815
TOTAL,12/27/2012,324309922.3,149135219.7,86167015.84,49711739.91,337092941.1,473445142
TOTAL,12/30/2012,275142825.5,71821645.5,32961624.75,25675370.85,288674439.9,346964471
TOTAL,12/31/2012,317157070.7,113762862.3,65068909.88,45246592.97,321035350.1,430919933
TOTAL,1/2/2013,418750507.6,125081320.4,55470846.46,70698137.64,417662843.9,543831828
TOTAL,1/3/2013,444315338.3,114571879.7,53653172.93,59242045.11,445992000,558887218
TOTAL,1/6/2013,369960853,106179241,31425246.2,57612951.37,387101896.4,476140094
TOTAL,1/8/2013,428106165.9,201461725.1,92546479.98,71141171.68,465880239.3,629567891
TOTAL,1/9/2013,426889820.2,214085885.8,119862457,53200983.6,467912265.4,640975706
TOTAL,1/10/2013,330025753.7,172296550.3,118548063.7,30139338.24,353634902,502322304
TOTAL,1/13/2013,275321819.8,134383269.2,78663377.09,29908471.5,301133240.4,409705089
TOTAL,1/14/2013,254746330.1,110219758.9,72628251.71,23357829.7,268980007.6,364966089
TOTAL,1/15/2013,270137357.7,136696012.3,92351174.99,27664669.16,286817525.9,406833370
TOTAL,1/16/2013,225482394.9,112572170.1,77076440.82,25354092.38,235285977.2,338054565
TOTAL,1/17/2013,254761863.1,123784738.9,90094091.28,27633901.95,260818608.8,378546602
TOTAL,1/20/2013,259588223.5,83328848.5,34977541.34,25718780.4,282220750.3,342917072
TOTAL,1/21/2013,252858357.2,153666332.8,117892160.1,23578432.02,265054097.9,406524690
TOTAL,1/22/2013,204841371.4,178039696.6,102229245.2,24504388.35,256147434.5,382881068
TOTAL,1/27/2013,278917418.4,153512687.6,112864257.7,87350881.41,232214966.9,432430106
TOTAL,1/27/2013,577504803.5,439229005.5,375174775.5,336538890.8,305020142.7,1016733809
TOTAL,1/28/2013,198849635.2,123435024.8,92173412.76,15469663.68,214641583.6,322284660
TOTAL,1/29/2013,268207611.1,219442590.9,138492657.4,66808077.67,282349467,487650202
TOTAL,1/30/2013,141656764.3,131811892.7,93252812.04,16134650.76,164081194.2,273468657
TOTAL,1/31/2013,299446264.5,152889482.5,83682113.2,52018610.91,316635022.9,452335747
TOTAL,2/3/2013,344381792.5,87174338.46,26324923.99,80700996.5,324530210.5,431556131
TOTAL,2/4/2013,363075304.3,148298363.7,86933523.56,59830719.16,364609425.3,511373668
TOTAL,2/5/2013,307290288.5,104075559.5,64173072.29,47718438.37,299474337.3,411365848
TOTAL,2/6/2013,412505683.3,163619572.7,85266537.89,68558905.46,421723687.4,576125256
TOTAL,2/7/2013,232549506.2,110443865.8,68598674.4,47676078.71,226375625.5,342993372
TOTAL,2/10/2013,231494396.8,67593971.17,29310660.06,36488780.9,233288927,299088368
TOTAL,2/11/2013,169708428.4,100527922.6,68369796.8,18916544.57,182950009.6,270236351
TOTAL,2/12/2013,375610676.3,125203558.8,61099336.67,59096079.73,380618818.6,500814235
TOTAL,2/13/2013,280318968.5,100032413.5,68843600.14,16355109.43,295152672.4,380351382
TOTAL,2/14/2013,184957464.1,93174060.88,77042432.43,15853496.93,185513727.2,278131525
TOTAL,2/17/2013,251745208,61760655.01,31037080.44,17556328.33,264912454.2,313505863
TOTAL,2/18/2013,257884943.2,94416891.78,65528141.31,16558186.25,270567809.3,352301835
TOTAL,2/19/2013,298781628.9,139314601.1,108647865,25409581.34,304038783.6,438096230
TOTAL,2/20/2013,191781203.4,136049913.6,98677166.22,23603840.42,205550110.4,327831117
TOTAL,2/21/2013,162657818.9,132546934.1,107454530.1,16826670.92,170628347.2,295204753
TOTAL,2/24/2013,173873759.8,59513837.24,33141038.77,12369542.64,187877015.6,233387597
TOTAL,2/25/2013,174041481.3,88464523.69,62213923.19,17325396.33,182966685.5,262506005
TOTAL,2/26/2013,146976147.3,57441303.73,26778686.08,18806405.49,158832359.4,204417451
TOTAL,2/27/2013,160989471.9,100782027.1,67013503.74,15182746.94,179575248.3,261771499
TOTAL,2/28/2013,193887564.9,118330736.1,82737849.77,13737605.24,215742846,312218301
TOTAL,3/3/2013,171724595.9,60022497.09,26650915.7,23869950.58,181226226.7,231747093
TOTAL,3/4/2013,296038831.9,176112415.1,116149206.8,34939192.28,321062848,472151247
TOTAL,3/5/2013,169484286.6,125270994.4,71330778,28001751.7,195422751.3,294755281
TOTAL,3/6/2013,156398445.8,218657779.2,138395747,57008546.2,179651931.8,375056225
TOTAL,3/7/2013,187204235.1,186456912.9,118076922.8,37739775.95,217844449.3,373661148
TOTAL,3/10/2013,145438719,48479573,31414763.3,18422237.74,144081291,193918292
TOTAL,3/11/2013,175654208.8,187267710.2,120127155.2,24315768.57,218478995.2,362921919
TOTAL,3/12/2013,196185342.3,108924054.7,79023333.82,10983938.29,215102124.9,305109397
TOTAL,3/13/2013,177705423.5,130291944.5,89139340.5,21472158,197385869.5,307997368
TOTAL,3/14/2013,161994096.5,209551996.5,162365642.6,27122864.79,182057585.6,371546093
TOTAL,3/17/2013,116578158,32689649.95,19852618.46,9105336.288,120309853.2,149267808
TOTAL,3/18/2013,150266084.6,104854602.4,79342533.66,16582844.66,159450429.4,255120687
TOTAL,3/19/2013,160295850,131151150,100257768,12240774,178948458,291447000
TOTAL,3/20/2013,132048080.5,89509101.53,74221655.97,14622774.01,132712752,221557182
TOTAL,3/21/2013,159550625.2,97789092.84,57901436.55,22131215.75,177307065.7,257339718
TOTAL,3/24/2013,171733186.5,109796627.5,22803914.93,15484139.77,243241759.3,281529814
TOTAL,3/25/2013,133491639.8,78064049.24,59235592.92,9520006.005,142800090.1,211555689
TOTAL,3/26/2013,137306081.1,88898335.88,68992347.19,12893651.77,144318418,226204417
TOTAL,3/27/2013,148961183.1,145428506.9,111868082.2,13836315.43,168685292.4,294389690
TOTAL,3/28/2013,627787289.6,16339436752,7312873562,8534513693,1119836787,16967224042
TOTAL,3/31/2013,163065736.9,57890546.15,26072841.39,13257376.98,181626064.6,220956283
TOTAL,4/1/2013,144900476.2,76321624.85,41810977.09,12830881.86,166580242.1,221222101
TOTAL,4/2/2013,149266545.3,100761168.7,71007870.78,16501829.12,162518014.1,250027714
TOTAL,4/3/2013,162086243.4,91569849.57,60623806.23,15980333.86,177051952.9,253656093
TOTAL,4/4/2013,133990243.2,74717300.75,42158923.89,22122999.66,144425620.4,208707544
TOTAL,4/7/2013,91165945.54,40767405.46,19790002.65,6332800.848,105810547.5,131933351
TOTAL,4/8/2013,159758109.8,161686779.2,116041604.9,18965248.45,186438035.6,321444889
TOTAL,4/9/2013,151484024.2,104401151.8,70624308.58,20470814.08,164790053.3,255885176
TOTAL,4/10/2013,223588753.7,133581779.3,91792826.98,34288371.17,231089334.9,357170533
TOTAL,4/11/2013,252853899.7,191529052.3,112428886.9,45771444.06,286182621.1,444382952
TOTAL,4/14/2013,236460825.2,108737459.8,75598424.42,18985905.68,250268756.6,345198285
TOTAL,4/15/2013,224262864,169180757,125115071.5,22032842.78,246295706.7,393443621
TOTAL,4/16/2013,231905133.8,115258240.2,61447917.2,30550376.91,255165079.9,347163374
TOTAL,4/17/2013,174772414.9,173379806.1,133690452.9,28200329.9,185913286,348152221
