NETFLOW,Date,Retail,Institutional,Foreign,Regional,Local
NETFLOW,6/29/2008,-13406578.39,13406578.39,18769209.75,29494472.46,-48263682.2
NETFLOW,6/30/2008,-7260302.764,7260302.764,9075378.455,16335681.22,-27226135.36
NETFLOW,7/2/2008,-84038004.49,85308557.48,70787951.95,-41746740.89,-29041211.06
NETFLOW,7/3/2008,-52863565.65,52863565.65,41926276.2,-109372894.4,67446618.24
NETFLOW,7/6/2008,-35681511.89,35681511.89,3243773.808,-8650063.488,5406289.68
NETFLOW,7/7/2008,-55459421.85,55459421.85,45952092.39,-77643190.59,31691098.2
NETFLOW,7/8/2008,-262951712.7,262951712.7,-54548493.6,-55947172.92,90914155.99
NETFLOW,7/9/2008,-61717022.52,61717022.52,54859575.58,-38858866.03,-16000709.54
NETFLOW,7/10/2008,-51024721.23,51024721.23,84555252.32,-18952039.31,-67061062.19
NETFLOW,7/13/2008,0,0,58759004.78,-51542986.65,-6185158.398
NETFLOW,7/14/2008,-141061208.3,141061208.3,32833212.27,-110660085.8,75394783.74
NETFLOW,7/15/2008,-93000000,93000000,43500000,-51000000,3000000
NETFLOW,7/16/2008,-66708095.83,66708095.83,85020122.14,-9156013.153,-77172110.86
NETFLOW,7/17/2008,14857616.88,-14857616.88,17829140.26,-21791171.42,4952538.96
NETFLOW,7/20/2008,29024500.7,-29024500.7,-24489422.47,9977172.117,14512250.35
NETFLOW,7/21/2008,82106676.13,-82106676.13,-151581555.9,136844460.2,15789745.41
NETFLOW,7/22/2008,-66785681.57,66785681.57,26362769.04,14060143.49,-39544153.56
NETFLOW,7/24/2008,-110446253.9,115705599.4,73630835.95,-23141119.87,-50489716.08
NETFLOW,7/27/2008,-8809955.128,8809955.128,-22024887.82,-26429865.38,47353508.81
NETFLOW,7/28/2008,-78458591.99,78458591.99,65596527.73,-43731018.48,-23151715.67
NETFLOW,7/29/2008,3427134.75,-3427134.75,-117664959.8,9139026,108525933.8
NETFLOW,7/30/2008,-18379468.22,18379468.22,183794682.2,-10210815.68,-173583866.6
NETFLOW,7/31/2008,-66420221.36,66420221.36,88837046.07,-22416824.71,-66420221.36
NETFLOW,8/3/2008,-35026100.4,35026100.4,63046980.71,22926174.8,-85973155.51
NETFLOW,8/4/2008,-14366979.48,14366979.48,27888842.52,-1690232.88,-24508376.76
NETFLOW,8/5/2008,30325092.84,-30325092.84,-40433457.12,12635455.35,27798001.77
NETFLOW,8/6/2008,-220894178,220894178,-9940238.01,-184446638.6,194386876.6
NETFLOW,8/7/2008,-52836366.96,52836366.96,12193007.76,34546855.32,-46739863.08
NETFLOW,8/10/2008,96978041.36,-96978041.36,-197018547.2,37770395.06,158227330.6
NETFLOW,8/11/2008,-18992265.41,18992265.41,-18992265.41,88630571.92,-69638306.51
NETFLOW,8/12/2008,30627943.2,-30627943.2,-127152370.3,73321439.79,53830930.48
NETFLOW,8/13/2008,-387933023.1,387933023.1,-22327080.46,30699735.64,-8372655.174
NETFLOW,8/14/2008,-51524559.59,51524559.59,-36301394.26,32788356.1,3513038.154
NETFLOW,8/17/2008,44408700,-44408700,-72059400,11730600,60328800
NETFLOW,8/18/2008,18194000,-18194000,-79143900,9097000,54582000
NETFLOW,8/19/2008,15958400,-15958400,-109714000,8976600,101734800
NETFLOW,8/20/2008,-37783200,37783200,-67470000,39582400,27887600
NETFLOW,8/21/2008,-88206213.32,88206213.32,61280106.1,-14855783.3,-47352809.26
NETFLOW,8/24/2008,-47533333.18,114377083,69814583.11,-33421874.9,-34907291.56
NETFLOW,8/25/2008,7648982.176,-7648982.176,-25728394.59,16688688.38,9039706.208
NETFLOW,8/26/2008,-1577785666,1577785666,-11827478.76,-21289461.76,35482436.26
NETFLOW,8/27/2008,-62738200,62738200,-54322100,6120800,48201300
NETFLOW,8/28/2008,-26103932.64,26103932.64,56075114.56,-53174677.6,-2900436.96
NETFLOW,8/31/2008,0,0,38969257.07,-181154384.2,142185127.1
NETFLOW,9/1/2008,-3595673.336,3595673.336,60227528.38,-117758301.8,56631855.04
NETFLOW,9/2/2008,160866879.1,-160866879.1,-105763307.3,-95986867.1,201750174.4
NETFLOW,9/3/2008,-12194554.2,12194554.2,-3048638.55,-14226979.9,16259405.6
NETFLOW,9/4/2008,-121829778.3,121829778.3,13412452.66,168773362.6,-182185815.2
NETFLOW,9/7/2008,0,0,43059126.88,-200166752,157107625.1
